m,r,gx
21.38,-1.56,1
21.13,-1.56,3
20.88,-1.56,3
20.63,-1.56,1
20.38,-1.56,1
20.13,-1.56,3
19.88,-1.56,2
19.63,-1.56,4
19.38,-1.56,1
19.13,-1.56,1
18.88,-1.56,1
18.63,-1.56,0
18.38,-1.56,0
18.13,-1.56,0
17.88,-1.56,0
17.63,-1.56,0
17.38,-1.56,0
17.13,-1.56,0
21.38,-1.44,6
21.13,-1.44,2
20.88,-1.44,2
20.63,-1.44,1
20.38,-1.44,3
20.13,-1.44,2
19.88,-1.44,0
19.63,-1.44,1
19.38,-1.44,0
19.13,-1.44,1
18.88,-1.44,0
18.63,-1.44,1
18.38,-1.44,0
18.13,-1.44,3
17.88,-1.44,0
17.63,-1.44,1
17.38,-1.44,1
17.13,-1.44,1
21.38,-1.31,6
21.13,-1.31,3
20.88,-1.31,3
20.63,-1.31,4
20.38,-1.31,2
20.13,-1.31,4
19.88,-1.31,2
19.63,-1.31,1
19.38,-1.31,0
19.13,-1.31,0
18.88,-1.31,0
18.63,-1.31,0
18.38,-1.31,3
18.13,-1.31,1
17.88,-1.31,1
17.63,-1.31,0
17.38,-1.31,0
17.13,-1.31,0
21.38,-1.19,3
21.13,-1.19,4
20.88,-1.19,3
20.63,-1.19,3
20.38,-1.19,3
20.13,-1.19,5
19.88,-1.19,4
19.63,-1.19,4
19.38,-1.19,2
19.13,-1.19,2
18.88,-1.19,0
18.63,-1.19,1
18.38,-1.19,1
18.13,-1.19,1
17.88,-1.19,1
17.63,-1.19,0
17.38,-1.19,0
17.13,-1.19,0
21.38,-1.06,1
21.13,-1.06,0
20.88,-1.06,3
20.63,-1.06,4
20.38,-1.06,3
20.13,-1.06,3
19.88,-1.06,5
19.63,-1.06,7
19.38,-1.06,2
19.13,-1.06,2
18.88,-1.06,1
18.63,-1.06,1
18.38,-1.06,1
18.13,-1.06,0
17.88,-1.06,1
17.63,-1.06,0
17.38,-1.06,0
17.13,-1.06,0
21.38,-0.94,4
21.13,-0.94,5
20.88,-0.94,2
20.63,-0.94,3
20.38,-0.94,4
20.13,-0.94,6
19.88,-0.94,4
19.63,-0.94,3
19.38,-0.94,2
19.13,-0.94,2
18.88,-0.94,1
18.63,-0.94,0
18.38,-0.94,0
18.13,-0.94,0
17.88,-0.94,0
17.63,-0.94,0
17.38,-0.94,0
17.13,-0.94,0
21.38,-0.81,6
21.13,-0.81,7
20.88,-0.81,9
20.63,-0.81,2
20.38,-0.81,5
20.13,-0.81,4
19.88,-0.81,2
19.63,-0.81,3
19.38,-0.81,1
19.13,-0.81,0
18.88,-0.81,0
18.63,-0.81,0
18.38,-0.81,0
18.13,-0.81,0
17.88,-0.81,0
17.63,-0.81,0
17.38,-0.81,0
17.13,-0.81,0
21.38,-0.69,8
21.13,-0.69,6
20.88,-0.69,9
20.63,-0.69,3
20.38,-0.69,7
20.13,-0.69,3
19.88,-0.69,3
19.63,-0.69,1
19.38,-0.69,2
19.13,-0.69,0
18.88,-0.69,0
18.63,-0.69,0
18.38,-0.69,0
18.13,-0.69,0
17.88,-0.69,0
17.63,-0.69,0
17.38,-0.69,0
17.13,-0.69,0
21.38,-0.56,8
21.13,-0.56,6
20.88,-0.56,6
20.63,-0.56,8
20.38,-0.56,6
20.13,-0.56,2
19.88,-0.56,3
19.63,-0.56,2
19.38,-0.56,0
19.13,-0.56,0
18.88,-0.56,0
18.63,-0.56,0
18.38,-0.56,0
18.13,-0.56,0
17.88,-0.56,0
17.63,-0.56,0
17.38,-0.56,0
17.13,-0.44,0
21.38,-0.44,20
21.13,-0.44,7
20.88,-0.44,3
20.63,-0.44,9
20.38,-0.44,7
20.13,-0.44,2
